"","tract","land_area","water_area","med_age","Occupied_housing_units","renter_occupied","med_income","mean_income","perc_female","perc_male","perc_black","perc_asian","perc_white","perc_latino","perc_other","house_with_child","renter","highschool","associate","some_college","bachelor","graduate","year_65_up","eight_to_24","unemployment_rate","per_cap_income","tot_pop","income_15_to_24","income_35_to_49","income_50_to_74","income_75_to_99","income_100_to_149","non_cit","foreign","perc_foreign_pop"
"1","005502",1297577,0,44.8,2528,1658,20597,39269,53.2,46.8,0.2,0.6,1.2,97.9,0,19,70.7,39.4,2.6,9.3,16.2,7.1,23.7,5.7,17.3,15433,6763,32.4,4.9,16.4,2.9,9.2,35.8,4405,65.1
"2","005802",2145271,9275,46.3,3240,1473,20949,42140,52.6,47.4,0.1,1,5.3,93.3,0,23,40.7,30.6,9.9,10.1,10.7,4.5,25.4,7.6,9,15560,11139,14.3,16,23,6.5,4.8,33,8393,75.3
"3","003702",1280714,0,32.5,2385,1742,45735,134392,41.6,58.4,14.6,2,33.6,49,0,10.3,72.1,13.5,6.2,20,26.8,23.5,4.2,7.1,6.4,65522,4403,2.4,8,7,19.7,23.5,18.8,1637,37.2
"4","007300",2892679,1349941,44.5,1649,265,59637,211483,49.7,50.3,1.2,1.1,53.7,41.6,0.5,29.8,19.2,7.2,6.1,11.3,31.5,41.7,18.4,4.3,8.2,86325,4014,0,5.4,4.7,2.2,14.5,12.1,1105,27.5
"5","001401",1208551,0,33.2,1577,1189,21888,34715,53.1,46.9,87.4,0,2.2,9.4,0,22,78.4,29.4,5.7,16.2,11.5,4.1,13.4,11.7,24.3,12231,5145,26.7,9.9,4.9,5,2,17.6,1857,36.1
"6","005104",628873,51971,38.3,1450,1094,17117,37990,50.7,49.3,0.7,0,4.9,93.8,0.4,24.7,84.3,38.9,7.2,10.2,9,5.7,15.2,7.8,5.4,14165,4455,21.4,11.2,11.8,7,3.9,38.7,3052,68.5
"7","001302",1674494,2012328,38.9,2636,1372,41799,91825,41.6,58.4,25.2,0,34.8,36.8,0.7,14.5,59,16.9,9.8,18.5,25.5,15.4,10.7,5,5.8,47485,5433,3,9.8,15.1,12.6,14.7,16.4,1989,36.6
"8","002003",808108,0,35.6,1106,859,18158,37307,52,48,72.7,0.3,5,18.9,0,19.3,87.8,32.7,6.9,12.4,6.6,2.8,14.1,12.4,19.2,11578,3863,21,22.7,9.4,5.9,2.6,20.9,1431,37
"9","002201",985996,0,37.2,1155,802,26070,64327,47.4,52.6,40.9,0.7,17.4,40.3,0.5,15,74.4,26.7,4.8,26.1,18.3,6.1,16,16.1,7.1,23538,3901,21.4,19.3,17.3,8.2,6.6,16.3,1738,44.6
"10","006301",1302690,0,46.6,2671,1747,20520,49386,49.5,50.5,0,0,7.8,92.2,0,17.4,64.5,38.7,7,10.3,19.7,4,20.2,7.1,6.6,17575,7258,26,11.9,17.9,6.7,7,41.4,5437,74.9
"11","002900",1429631,0,34,1764,1415,18320,35530,47.5,52.5,12.5,0,4.1,83.3,0,30.9,86.3,40.7,5.6,15.3,5.9,1.7,13.2,9.8,9.4,11880,6871,23.8,23.7,12.1,2.9,2.7,25.2,3691,53.7
"12","002300",1725281,0,36.7,1619,671,21109,39928,53.7,46.3,78.2,0,0.9,19.4,0,20.5,39.5,37.8,7.5,22.7,3.5,1.2,14,11,16.4,14843,4820,13.6,12.4,17.3,6.1,10.2,12.1,1117,23.2
"13","006602",617676,6493,35.5,2817,2363,22078,57725,49.8,50.2,2.1,1.8,12.2,83.5,0,15.1,85,26.2,6.9,9.8,21.3,13,12.9,6.8,3.3,28492,5358,24.1,9,14,5.1,9.5,49.2,3832,71.5
"14","490100",631680,11042,42.8,541,280,22627,47486,51,49,0.4,0.4,1.6,97.7,0,29,45.1,34.6,15.2,14.4,9.4,3.5,15.2,8.1,7.2,17253,1893,18.8,5.9,22.5,12.6,7.9,35.4,1350,71.3
"15","002402",1356239,0,34.8,1675,1248,20089,32385,48.7,51.3,6.9,0.2,3.2,88.8,0,32.7,76.5,36.2,5.7,15,7,2.1,11.7,8.1,14.9,11969,5730,19,15,16.1,2.8,0,36.9,3546,61.9
"16","002501",945956,0,33.9,1530,1002,20133,35668,52.6,47.4,19.9,0,2.4,77.7,0,35.9,74.3,32.8,6.7,5.8,8.2,1.5,9.5,10.9,13.1,12126,5364,22.8,5.7,16.5,8.9,0.3,44.6,3183,59.3
"17","006714",112211,0,37.8,1048,535,64010,120092,61.5,38.5,0,3.9,31.8,63.4,1,17.9,48.9,5.1,4.1,9,35.8,40,13.1,4.7,3.8,53194,1782,0,4.4,16.7,4.6,19.4,26.9,987,55.4
"18","002404",920634,0,43.5,2171,1859,18691,28463,52.8,47.2,9.1,0,1.8,89.1,0,21.9,89.1,31.7,5.1,8.1,5.1,3.2,23.4,6.7,11.6,13537,4790,27.7,16.8,2.5,1.9,0.5,36.6,3056,63.8
"19","003703",160291,20568,31.6,761,650,62730,123345,46.1,53.9,2.3,8.9,56.8,31.5,0,16.1,81.7,9.2,1.6,10.5,37.1,40.5,2.3,9.8,3.2,59272,1503,5.6,4,8.7,15.2,9.9,35.7,707,47
"20","002702",1011154,0,34.2,1064,946,24620,63740,42.1,57.9,16.7,1.7,12.2,68.4,0,13.7,90.6,17.8,5.1,21,19.3,8.8,4.3,9.4,18.7,24788,3505,9.3,21,29.9,3.8,3.8,39.2,2125,60.6
"21","003601",822494,43059,39.8,1453,1388,23859,43278,53.8,46.2,40.8,0,3.2,56,0,17.8,91.7,35.1,8.9,14.1,7.4,6.4,14.5,7,22.7,15010,3973,28.5,2.8,12,3.4,1.7,13.5,1619,40.8
"22","005704",1318018,0,42.3,2845,2047,20003,37664,50.6,49.4,0.1,0,2.3,97.6,0,28.9,78.8,34.1,12,10,8.4,4.1,17.2,6.8,9.8,13412,9373,23.3,8.5,24.6,2.9,5,39.8,7307,78
"23","002600",1365822,0,31.9,2274,1961,29655,57777,43.7,56.3,13,0.2,10.4,74.7,0,36.8,78.9,23.3,5.1,9.7,25.6,11.2,5,6.6,10.3,20277,6931,6.7,21.6,2.7,12.8,5.4,36.5,3368,48.6
"24","007200",911075,0,35.9,970,629,21475,63683,51.6,48.4,70.1,0,13.4,16.2,0.2,25.3,65.6,31.5,6.7,11.6,16.4,13,13,9.8,15.2,22891,3049,16.1,9.8,18.2,13.7,6,10.3,580,19
"25","002001",1060195,778,38.5,1355,1114,22170,32450,58.7,41.3,82.4,0,1.6,16,0,31.9,76.6,37.3,4,14.7,4.8,1.6,16.4,9.4,10.8,11479,3704,21.2,18.6,10.6,3,3,25.9,1420,38.3
"26","002202",1587537,4067,35.3,1678,782,17769,43346,52.7,47.3,63.8,0,4.3,31.4,0,21.2,49.3,36.9,7.4,15.4,9.9,3.2,14,10.8,11.5,13715,6362,17.4,12,14,7.3,10.1,19.4,2550,40.1
"27","002502",1048128,4860,36.1,1080,708,18750,39197,36,64,33.8,0,4.7,59.8,0,21.2,64.5,39.2,4.6,6.5,6.4,1.8,9.4,16.4,20,10334,5049,17.1,14.4,13.5,5.8,5.5,26.5,2168,42.9
"28","001501",668462,0,23.1,1068,884,14315,29948,57,43,85.3,0,3.5,11.1,0,47.3,82.6,37.8,6.2,14.9,7.2,0,6.9,12.6,18.9,7650,4572,15.7,7.4,8.4,5.4,0,5.3,385,8.4
"29","001903",673456,0,31.7,1039,791,22921,30899,55.9,44.1,84,0,2,13.5,0,25.2,75.8,43.5,3.5,18.7,7.3,2.7,8.1,10.6,23.7,10709,3221,15.7,13,16.6,1.9,0,5.7,427,13.3
"30","001802",1100984,0,31.1,1268,682,26416,38813,49.4,50.6,63.4,0,0,35.7,0,22.8,51.5,36.9,5,14.7,14.9,1.1,13.4,9.6,15.5,16065,3743,15,21,18.9,7.9,0,14.2,859,22.9
"31","005501",1296009,0,44.4,2046,1084,17569,49309,50.6,49.4,0.2,6.7,3.3,89.7,0,18,47.7,31.4,3.8,6.6,13.3,2,28.4,9.1,6.1,17055,6706,27.8,13.2,13.1,6.6,9.2,26.1,5176,77.2
