"","TRACTCE10","SMARTPHONE_APP","OTHER","EMAIL","PHONE","FAX","SOCIALMEDIA","WALKIN","MAIL","WEB","MAYOR_OFFICE","PER_TRACT","DELAYED"
"1","001002",1,0,0,24,0,0,0,0,1,0,26,9
"2","001004",1,0,3,159,0,0,1,0,1,0,165,70
"3","001005",0,0,0,1,0,0,0,0,0,0,1,1
"4","001006",8,0,6,76,0,0,0,0,1,0,91,32
"5","001104",1,0,0,8,0,0,0,0,1,0,10,3
"6","001301",97,0,26,947,5,2,2,1,28,0,1108,412
"7","001302",37,0,12,706,1,0,4,0,15,0,775,282
"8","001401",32,0,5,951,6,0,1,0,11,0,1006,393
"9","001402",83,0,10,673,2,0,0,0,11,0,779,321
"10","001501",5,0,3,729,2,0,0,0,8,0,747,293
"11","001502",5,0,1,56,0,1,0,0,1,0,64,13
"12","001703",5,0,2,173,0,0,0,0,3,0,183,72
"13","001801",0,0,2,154,1,0,1,0,1,0,159,36
"14","001802",7,0,4,566,4,0,0,0,4,0,585,240
"15","001901",8,0,10,956,2,0,0,0,10,0,986,405
"16","001903",10,1,6,647,2,0,0,0,2,0,668,231
"17","001904",13,0,5,975,2,1,1,0,7,0,1004,385
"18","002001",17,0,9,556,1,0,0,0,14,1,598,237
"19","002003",6,0,1,622,0,0,2,0,11,0,642,236
"20","002004",15,0,6,506,3,0,0,0,11,0,541,233
"21","002100",13,0,8,383,2,0,6,1,7,0,420,120
"22","002201",20,0,9,441,0,0,0,1,11,0,482,158
"23","002202",54,0,6,1032,6,1,3,0,28,0,1130,362
"24","002300",20,0,11,1399,1,0,1,0,10,0,1442,568
"25","002402",16,0,8,715,8,0,1,0,9,0,757,252
"26","002403",15,0,3,631,6,0,0,1,3,0,659,205
"27","002404",8,0,6,567,10,0,3,0,8,0,602,159
"28","002501",12,0,19,774,5,0,0,0,9,0,819,244
"29","002502",19,0,6,672,3,0,1,0,8,0,709,254
"30","002600",35,0,12,807,1,0,3,0,15,0,873,276
"31","002702",28,0,10,437,0,1,0,0,22,0,498,155
"32","002703",6,0,12,292,2,0,3,0,29,0,344,83
"33","002705",10,0,6,123,0,0,2,0,2,0,143,36
"34","002706",21,0,12,299,1,1,3,0,14,0,351,106
"35","002800",8,0,17,266,1,0,0,0,12,0,304,78
"36","002900",19,0,9,625,3,0,11,0,12,0,679,235
"37","003001",23,0,9,449,0,0,1,1,14,0,497,163
"38","003003",13,0,11,780,2,0,1,0,5,0,812,236
"39","003004",19,0,10,393,2,1,0,0,13,0,438,145
"40","003100",28,0,10,559,2,0,3,0,8,0,610,211
"41","003400",16,0,5,368,2,0,0,0,11,1,403,135
"42","003601",38,0,15,440,1,2,1,0,117,0,614,153
"43","003602",49,0,8,778,2,0,0,0,8,0,845,381
"44","003702",25,0,20,384,4,2,3,0,23,0,461,149
"45","003703",9,0,22,92,2,1,0,0,8,0,134,24
"46","003704",14,0,30,152,1,0,2,0,11,1,211,50
"47","003705",9,0,8,59,1,0,0,0,3,0,80,18
"48","003707",1,0,7,74,1,0,0,0,5,0,88,17
"49","004901",14,0,2,210,3,0,0,1,5,0,235,49
"50","004902",16,0,7,558,6,0,1,0,20,0,608,177
"51","005001",20,0,8,890,7,0,1,0,14,1,941,234
"52","005002",23,0,4,569,3,0,2,1,3,0,605,169
"53","005102",14,0,9,458,4,0,0,0,13,0,498,126
"54","005103",4,0,4,202,1,0,0,0,2,0,213,50
"55","005104",6,0,3,288,1,1,0,0,8,0,307,77
