"","TRACTCE10","SMARTPHONE_APP","OTHER","EMAIL","PHONE","FAX","SOCIALMEDIA","WALKIN","MAIL","WEB","MAYOR_OFFICE","PER_TRACT","DELAYED","perc_smartapp","perc_other","perc_email","perc_phone","perc_fax","perc_socialmedia","perc_walkin","perc_mail","perc_web","perc_mayor","perc_delayed"
"1","001002",1,0,0,24,0,0,0,0,1,0,26,9,0.0384615384615385,0,0,0.923076923076923,0,0,0,0,0.0384615384615385,0,0.346153846153846
"2","001004",1,0,3,159,0,0,1,0,1,0,165,70,0.00606060606060606,0,0.0181818181818182,0.963636363636364,0,0,0.00606060606060606,0,0.00606060606060606,0,0.424242424242424
"3","001005",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
"4","001006",8,0,6,76,0,0,0,0,1,0,91,32,0.0879120879120879,0,0.0659340659340659,0.835164835164835,0,0,0,0,0.010989010989011,0,0.351648351648352
"5","001104",1,0,0,8,0,0,0,0,1,0,10,3,0.1,0,0,0.8,0,0,0,0,0.1,0,0.3
"6","001301",97,0,26,947,5,2,2,1,28,0,1108,412,0.0875451263537906,0,0.0234657039711191,0.854693140794224,0.00451263537906137,0.00180505415162455,0.00180505415162455,0.000902527075812274,0.0252707581227437,0,0.371841155234657
"7","001302",37,0,12,706,1,0,4,0,15,0,775,282,0.047741935483871,0,0.0154838709677419,0.910967741935484,0.00129032258064516,0,0.00516129032258065,0,0.0193548387096774,0,0.363870967741936
"8","001401",32,0,5,951,6,0,1,0,11,0,1006,393,0.0318091451292246,0,0.00497017892644135,0.945328031809145,0.00596421471172962,0,0.00099403578528827,0,0.010934393638171,0,0.39065606361829
"9","001402",83,0,10,673,2,0,0,0,11,0,779,321,0.106546854942234,0,0.0128369704749679,0.86392811296534,0.00256739409499358,0,0,0,0.0141206675224647,0,0.41206675224647
"10","001501",5,0,3,729,2,0,0,0,8,0,747,293,0.00669344042838019,0,0.00401606425702811,0.975903614457831,0.00267737617135207,0,0,0,0.0107095046854083,0,0.392235609103079
"11","001502",5,0,1,56,0,1,0,0,1,0,64,13,0.078125,0,0.015625,0.875,0,0.015625,0,0,0.015625,0,0.203125
"12","001703",5,0,2,173,0,0,0,0,3,0,183,72,0.0273224043715847,0,0.0109289617486339,0.945355191256831,0,0,0,0,0.0163934426229508,0,0.39344262295082
"13","001801",0,0,2,154,1,0,1,0,1,0,159,36,0,0,0.0125786163522013,0.968553459119497,0.00628930817610063,0,0.00628930817610063,0,0.00628930817610063,0,0.226415094339623
"14","001802",7,0,4,566,4,0,0,0,4,0,585,240,0.011965811965812,0,0.00683760683760684,0.967521367521368,0.00683760683760684,0,0,0,0.00683760683760684,0,0.41025641025641
"15","001901",8,0,10,956,2,0,0,0,10,0,986,405,0.00811359026369168,0,0.0101419878296146,0.969574036511156,0.00202839756592292,0,0,0,0.0101419878296146,0,0.410750507099391
"16","001903",10,1,6,647,2,0,0,0,2,0,668,231,0.0149700598802395,0.00149700598802395,0.00898203592814371,0.968562874251497,0.0029940119760479,0,0,0,0.0029940119760479,0,0.345808383233533
"17","001904",13,0,5,975,2,1,1,0,7,0,1004,385,0.0129482071713147,0,0.0049800796812749,0.971115537848606,0.00199203187250996,0.00099601593625498,0.00099601593625498,0,0.00697211155378486,0,0.383466135458167
"18","002001",17,0,9,556,1,0,0,0,14,1,598,237,0.0284280936454849,0,0.0150501672240803,0.929765886287625,0.00167224080267559,0,0,0,0.0234113712374582,0.00167224080267559,0.396321070234114
"19","002003",6,0,1,622,0,0,2,0,11,0,642,236,0.00934579439252336,0,0.00155763239875389,0.968847352024922,0,0,0.00311526479750779,0,0.0171339563862928,0,0.367601246105919
"20","002004",15,0,6,506,3,0,0,0,11,0,541,233,0.0277264325323475,0,0.011090573012939,0.935304990757856,0.0055452865064695,0,0,0,0.0203327171903882,0,0.430683918669131
"21","002100",13,0,8,383,2,0,6,1,7,0,420,120,0.030952380952381,0,0.019047619047619,0.911904761904762,0.00476190476190476,0,0.0142857142857143,0.00238095238095238,0.0166666666666667,0,0.285714285714286
"22","002201",20,0,9,441,0,0,0,1,11,0,482,158,0.04149377593361,0,0.0186721991701245,0.9149377593361,0,0,0,0.0020746887966805,0.0228215767634855,0,0.327800829875519
"23","002202",54,0,6,1032,6,1,3,0,28,0,1130,362,0.047787610619469,0,0.00530973451327434,0.913274336283186,0.00530973451327434,0.000884955752212389,0.00265486725663717,0,0.0247787610619469,0,0.320353982300885
"24","002300",20,0,11,1399,1,0,1,0,10,0,1442,568,0.013869625520111,0,0.00762829403606103,0.970180305131761,0.000693481276005548,0,0.000693481276005548,0,0.00693481276005548,0,0.393897364771151
"25","002402",16,0,8,715,8,0,1,0,9,0,757,252,0.0211360634081902,0,0.0105680317040951,0.944517833553501,0.0105680317040951,0,0.00132100396301189,0,0.011889035667107,0,0.332892998678996
"26","002403",15,0,3,631,6,0,0,1,3,0,659,205,0.0227617602427921,0,0.00455235204855842,0.957511380880121,0.00910470409711684,0,0,0.00151745068285281,0.00455235204855842,0,0.311077389984825
"27","002404",8,0,6,567,10,0,3,0,8,0,602,159,0.0132890365448505,0,0.00996677740863787,0.941860465116279,0.0166112956810631,0,0.00498338870431894,0,0.0132890365448505,0,0.264119601328904
"28","002501",12,0,19,774,5,0,0,0,9,0,819,244,0.0146520146520147,0,0.0231990231990232,0.945054945054945,0.00610500610500611,0,0,0,0.010989010989011,0,0.297924297924298
"29","002502",19,0,6,672,3,0,1,0,8,0,709,254,0.0267983074753173,0,0.00846262341325811,0.947813822284908,0.00423131170662906,0,0.00141043723554302,0,0.0112834978843441,0,0.358251057827927
"30","002600",35,0,12,807,1,0,3,0,15,0,873,276,0.0400916380297824,0,0.013745704467354,0.924398625429553,0.0011454753722795,0,0.00343642611683849,0,0.0171821305841924,0,0.316151202749141
"31","002702",28,0,10,437,0,1,0,0,22,0,498,155,0.0562248995983936,0,0.0200803212851406,0.877510040160643,0,0.00200803212851406,0,0,0.0441767068273092,0,0.311244979919679
"32","002703",6,0,12,292,2,0,3,0,29,0,344,83,0.0174418604651163,0,0.0348837209302326,0.848837209302326,0.00581395348837209,0,0.00872093023255814,0,0.0843023255813953,0,0.241279069767442
"33","002705",10,0,6,123,0,0,2,0,2,0,143,36,0.0699300699300699,0,0.041958041958042,0.86013986013986,0,0,0.013986013986014,0,0.013986013986014,0,0.251748251748252
"34","002706",21,0,12,299,1,1,3,0,14,0,351,106,0.0598290598290598,0,0.0341880341880342,0.851851851851852,0.00284900284900285,0.00284900284900285,0.00854700854700855,0,0.0398860398860399,0,0.301994301994302
"35","002800",8,0,17,266,1,0,0,0,12,0,304,78,0.0263157894736842,0,0.0559210526315789,0.875,0.00328947368421053,0,0,0,0.0394736842105263,0,0.256578947368421
"36","002900",19,0,9,625,3,0,11,0,12,0,679,235,0.0279823269513991,0,0.0132547864506627,0.920471281296024,0.00441826215022091,0,0.01620029455081,0,0.0176730486008837,0,0.346097201767305
"37","003001",23,0,9,449,0,0,1,1,14,0,497,163,0.0462776659959759,0,0.0181086519114688,0.903420523138833,0,0,0.00201207243460765,0.00201207243460765,0.028169014084507,0,0.327967806841046
"38","003003",13,0,11,780,2,0,1,0,5,0,812,236,0.0160098522167488,0,0.0135467980295567,0.960591133004926,0.00246305418719212,0,0.00123152709359606,0,0.0061576354679803,0,0.29064039408867
"39","003004",19,0,10,393,2,1,0,0,13,0,438,145,0.04337899543379,0,0.0228310502283105,0.897260273972603,0.0045662100456621,0.00228310502283105,0,0,0.0296803652968037,0,0.331050228310502
"40","003100",28,0,10,559,2,0,3,0,8,0,610,211,0.0459016393442623,0,0.0163934426229508,0.916393442622951,0.00327868852459016,0,0.00491803278688525,0,0.0131147540983607,0,0.345901639344262
"41","003400",16,0,5,368,2,0,0,0,11,1,403,135,0.0397022332506203,0,0.0124069478908189,0.913151364764268,0.00496277915632754,0,0,0,0.0272952853598015,0.00248138957816377,0.334987593052109
"42","003601",38,0,15,440,1,2,1,0,117,0,614,153,0.0618892508143322,0,0.0244299674267101,0.716612377850163,0.00162866449511401,0.00325732899022801,0.00162866449511401,0,0.190553745928339,0,0.249185667752443
"43","003602",49,0,8,778,2,0,0,0,8,0,845,381,0.0579881656804734,0,0.00946745562130178,0.920710059171598,0.00236686390532544,0,0,0,0.00946745562130178,0,0.450887573964497
"44","003702",25,0,20,384,4,2,3,0,23,0,461,149,0.0542299349240781,0,0.0433839479392625,0.832971800433839,0.00867678958785249,0.00433839479392625,0.00650759219088937,0,0.0498915401301518,0,0.323210412147505
"45","003703",9,0,22,92,2,1,0,0,8,0,134,24,0.0671641791044776,0,0.164179104477612,0.686567164179104,0.0149253731343284,0.00746268656716418,0,0,0.0597014925373134,0,0.17910447761194
"46","003704",14,0,30,152,1,0,2,0,11,1,211,50,0.0663507109004739,0,0.14218009478673,0.720379146919431,0.004739336492891,0,0.00947867298578199,0,0.0521327014218009,0.004739336492891,0.23696682464455
