"","TRACTCE10","cluster","state","county","tot_pop","med_income","per_cap_income","perc_under_poverty","perc_unemployment_rate","perc_white","perc_aa","perc_hispanic","perc_other_race","perc_ed_high","perc_ed_college","perc_ed_att_col_deg","perc_other_ed","perc_citizen","perc_non_citizen","tourist"
"1","000107",4,12,86,2574,53193,38220,11.1,3.4,53.4,1.4,40.2,5,14.1,30.1,21.5,34.3,84.8,15.2,"N.Tourist"
"2","000118",4,12,86,1182,89091,94191,16.4,3.7,69.4,0,29.7,0.9,9.7,33.1,33.1,24.1,76.5,23.5,"N.Tourist"
"3","000120",4,12,86,4425,69698,51683,8.8,3,46.4,3.6,46,4,17,28.6,19.3,35.1,84.9,15.1,"N.Tourist"
"4","000127",4,12,86,2856,40805,35545,13.4,1.6,54.3,3.7,41.3,0.7,14.5,17.7,16.1,51.7,85.1,14.9,"N.Tourist"
"5","000128",2,12,86,2556,51646,31963,6,3,41.1,4,53.9,1,23.5,22.6,17.8,36.1,84.2,15.8,"N.Tourist"
"6","000130",2,12,86,2535,63606,63667,8.2,3,70.2,3.2,26.6,0,12.4,31,26.4,30.2,70.8,29.2,"N.Tourist"
"7","000131",4,12,86,2758,75153,62350,5.5,0.9,59.9,0.4,38.6,1.1,7.3,29.6,28.2,34.9,77.6,22.4,"N.Tourist"
"8","000134",2,12,86,3357,33614,25908,19.2,7.5,37.7,3,55,4.3,23.7,17.7,14.7,43.9,76.5,23.5,"N.Tourist"
"9","000202",2,12,86,7335,37107,18217,18,10.1,25.2,24,41.6,9.2,32.8,12,6.1,49.1,84.1,15.9,"N.Tourist"
"10","000204",1,12,86,4980,45370,15344,18.9,9.1,3.8,74.4,19.3,2.5,34.3,11.4,4.2,50.1,86.1,13.9,"N.Tourist"
"11","000206",2,12,86,6195,38547,13914,31.9,14.6,7.2,65.2,24.8,2.8,31.9,9.8,5.8,52.5,75.5,24.5,"N.Tourist"
"12","000211",1,12,86,2978,46379,19949,13.9,11.5,28,19.5,44.7,7.8,26.8,13.9,5.9,53.4,80.6,19.4,"N.Tourist"
"13","000213",1,12,86,5725,37887,16762,21.6,14,32.6,47.4,18.1,1.9,27,19.8,6.2,47,87.6,12.4,"N.Tourist"
"14","000214",1,12,86,5725,27461,21780,23.4,5.8,27.4,26,38.5,8.1,28.2,10.6,7,54.2,77.3,22.7,"N.Tourist"
"15","000215",1,12,86,4149,35404,13423,24,12.8,4,66.1,20.8,9.1,37.8,7.2,3.4,51.6,70.4,29.6,"N.Tourist"
"16","000216",2,12,86,4863,53694,16082,19.1,20,0.8,69.2,24.8,5.2,31.7,13.7,2.3,52.3,79.3,20.7,"N.Tourist"
"17","000217",1,12,86,6709,36402,13712,24.8,13.7,2.7,76.4,16.2,4.7,31.6,9.8,2.8,55.8,74.5,25.5,"N.Tourist"
"18","000218",2,12,86,3640,37390,13472,22.9,11.9,4.5,78.5,13.9,3.1,21.7,7.9,4.1,66.3,72.8,27.2,"N.Tourist"
"19","000219",2,12,86,4858,23713,13131,44.6,12,8.5,59.5,26.8,5.2,24.8,12.1,5.9,57.2,73.6,26.4,"N.Tourist"
"20","000302",1,12,86,2721,63188,25140,9.8,12.4,8,64.9,24.3,2.8,34,15,12.7,38.3,82.3,17.7,"N.Tourist"
"21","000306",2,12,86,5413,29816,16521,27.6,10.1,8.5,74.4,15.9,1.2,31.5,12.1,3.9,52.5,74.7,25.3,"N.Tourist"
"22","000403",2,12,86,5913,20900,14803,39.4,13.9,2,81.1,16.5,0.4,43.5,8.5,0.6,47.4,87,13,"N.Tourist"
"23","000404",1,12,86,7034,37703,16978,13.3,17.5,0.4,65.6,34,0,42.1,8.5,2.8,46.6,84.8,15.2,"N.Tourist"
"24","000405",2,12,86,5014,48633,13582,20.1,15.8,5.2,68.2,22.9,3.7,33.4,10.3,2.1,54.2,79.8,20.2,"N.Tourist"
"25","000408",1,12,86,4270,23899,15528,31.6,18,5.6,65.7,28.1,0.6,42.1,5.6,2.7,49.6,82.6,17.4,"N.Tourist"
"26","000410",2,12,86,4572,42050,13756,17.7,8.5,3.1,59.5,36.4,1,35.4,5.4,4.2,55,72.4,27.6,"N.Tourist"
"27","000411",1,12,86,5803,27428,12408,28.7,14.1,0.5,77.9,20.7,0.9,35.3,9,1.1,54.6,79.1,20.9,"N.Tourist"
