"","x"
"1","002003"
"2","002004"
"3","002703"
"4","003400"
"5","003702"
"6","005403"
"7","005405"
"8","005410"
"9","005304"
"10","005303"
"11","005302"
"12","003704"
"13","003602"
"14","003705"
"15","006802"
"16","006801"
"17","007200"
"18","007103"
"19","007300"
"20","003919"
"21","003922"
"22","003919"
"23","004103"
"24","004105"
"25","004206"
"26","004203"
"27","004205"
"28","004406"
"29","004303"
"30","007300"
"31","004403"
"32","004404"
"33","004000"
"34","010613"
"35","980400"
"36","004608"
"37","980500"
"38","009014"
"39","005501"
"40","004106"
"41","002800"
"42","004204"
"43","008904"
"44","980200"
"45","006802"
"46","007804"
"47","980800"
"48","004607"
"49","003601"
"50","011102"
"51","003803"
"52","003706"
"53","009010"
