"","x"
"1",10609
"2",17800
"3",6900
"4",9006
"5",7200
"6",504
"7",2703
"8",7603
"9",5103
"10",17100
"11",7806
"12",4000
"13",3704
"14",10613
"15",9600
"16",1004
"17",217
"18",10016
"19",8907
"20",1006
"21",215
"22",503
"23",5102
"24",1005
"25",3906
"26",1302
"27",980400
"28",1104
"29",6705
"30",10015
"31",127
"32",7605
"33",12300
"34",4608
"35",204
"36",707
"37",3916
"38",806
"39",608
"40",1703
"41",1802
"42",607
"43",16300
"44",3917
"45",6714
"46",9026
"47",408
"48",980500
"49",17900
"50",13100
"51",9017
"52",404
"53",6504
"54",6001
"55",4404
"56",15400
"57",1003
"58",10012
"59",216
"60",4703
"61",705
"62",18600
"63",10205
"64",9031
"65",2404
"66",6302
"67",302
"68",3922
"69",13200
"70",8305
"71",8601
"72",3703
"73",18000
"74",13900
"75",10193
"76",11800
"77",9803
"78",9311
"79",2202
"80",9043
"81",12800
"82",2706
"83",15900
"84",9504
"85",218
"86",3919
"87",5104
"88",708
"89",7300
"90",11401
"91",11900
"92",807
"93",6601
"94",4103
"95",8409
"96",2003
"97",5405
"98",804
"99",17700
"100",8805
"101",5501
"102",211
"103",9030
"104",16400
"105",11003
"106",2201
"107",9315
"108",12900
"109",9808
"110",5202
"111",16200
"112",3400
"113",9305
"114",1904
"115",6709
"116",9047
"117",213
"118",8307
"119",8304
"120",4901
"121",11202
"122",6301
"123",9905
"124",1204
"125",1103
"126",4106
"127",2900
"128",9100
"129",709
"130",5201
"131",4204
"132",6102
"133",7503
"134",10013
"135",15200
"136",1205
"137",11404
"138",9020
"139",403
"140",9903
"141",16600
"142",19200
"143",9313
"144",980200
"145",601
"146",2800
"147",7002
"148",2100
"149",10009
"150",10207
"151",6802
"152",12600
"153",11101
"154",15000
"155",9308
"156",7705
"157",3004
"158",10703
"159",118
"160",10801
"161",9703
"162",2705
"163",20300
"164",8306
"165",12500
"166",4205
"167",20000
"168",17300
"169",980800
"170",18100
"171",3912
"172",4605
"173",6503
"174",411
"175",2300
"176",3702
"177",214
"178",9021
"179",8405
"180",14300
"181",9019
"182",206
"183",18700
"184",4607
"185",219
"186",7807
"187",10006
"188",131
"189",3921
"190",8803
"191",18300
"192",1401
"193",12000
"194",11700
"195",1101
"196",3601
"197",13500
"198",9034
"199",306
"200",202
"201",8901
"202",14200
"203",11102
"204",501
"205",130
"206",5701
"207",13400
"208",8902
"209",5001
"210",134
"211",9309
"212",3803
"213",107
"214",3100
"215",903
"216",8309
"217",6002
"218",410
"219",3706
"220",9010
"221",16800
"222",8308
"223",5901
"224",490100
"225",9040
"226",711
"227",7501
"228",9044
"229",3707
"230",5407
"231",6201
"232",11005
"233",19600
"234",7902
"235",10210
"236",3705
"237",9015
"238",8806
"239",9038
"240",14700
"241",120
"242",7702
"243",1002
"244",405
"245",1803
"246",2702
"247",9024
"248",9706
"249",6501
"250",128
"251",18900
"252",15800
"253",4405
"254",4406
"255",2600
"256",980300
"257",1702
"258",6205
